<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.04.11	329.79	336.07	324.78	325.97	69273	0	2
2022.04.12	327.75	340.30	323.67	327.93	65158	0	2
2022.04.13	329.85	341.89	324.36	341.62	53946	0	2
2022.04.14	342.02	342.09	327.39	329.88	56209	0	2
2022.04.18	330.38	338.26	324.49	333.92	56251	0	3
2022.04.19	334.35	344.94	331.81	341.55	48722	0	2
2022.04.20	341.76	345.77	325.41	327.85	63695	0	3
2022.04.21	347.49	363.42	332.17	336.07	92069	0	2
2022.04.22	336.49	344.89	331.37	336.96	71597	0	3
2022.04.25	327.73	336.14	320.63	330.16	76807	0	3
2022.04.26	333.68	333.88	294.18	296.11	98705	0	2
2022.04.27	300.21	305.94	292.55	293.98	84246	0	2
2022.04.28	301.41	302.42	273.84	293.51	98795	0	2
2022.04.29	301.28	311.40	292.58	293.41	90841	0	2
2022.05.02	289.74	298.46	281.30	296.87	90513	0	2
2022.05.03	301.39	307.99	296.21	300.84	68190	0	2
2022.05.04	303.10	316.25	295.16	315.68	72907	0	2
2022.05.05	313.53	316.77	285.90	288.31	92861	0	1
2022.05.06	292.60	296.38	281.08	287.96	103366	0	2
2022.05.09	280.38	281.81	262.96	263.04	96972	0	2
2022.05.10	269.09	275.01	258.10	264.51	99698	0	2
2022.05.11	271.28	272.68	243.36	243.71	100032	0	1
2022.05.12	239.23	253.13	226.66	241.95	138309	0	2
2022.05.13	256.84	262.39	250.51	255.73	83246	0	1
2022.05.16	256.05	258.11	239.72	239.86	86746	0	2
2022.05.17	251.06	254.79	242.98	253.98	74408	0	1
2022.05.18	251.94	253.49	233.61	235.29	71454	0	1
2022.05.19	230.58	244.66	230.04	238.09	90739	0	1
2022.05.20	242.63	242.63	210.99	218.12	115360	0	1
2022.05.23	221.94	226.63	212.69	223.85	84715	0	0
2022.05.24	219.22	219.58	206.89	209.80	89333	0	0
2022.05.25	209.09	223.06	205.83	220.78	82709	0	1
2022.05.26	219.63	239.53	217.86	236.16	76738	0	1
2022.05.27	241.24	253.21	237.44	252.57	64187	0	1
2022.05.31	256.20	259.53	244.75	252.08	82547	0	1
2022.06.01	250.34	257.19	243.66	248.18	75811	0	1
2022.06.02	248.06	264.20	242.08	258.28	72174	0	1
2022.06.03	249.77	249.77	233.43	234.30	87114	0	0
2022.06.06	242.91	244.77	234.36	237.86	76818	0	0
2022.06.07	235.60	239.97	230.09	239.30	65411	0	0
2022.06.08	239.39	249.92	238.51	242.36	76461	0	0
2022.06.09	249.38	255.49	239.71	239.71	85179	0	0
2022.06.10	240.99	241.47	227.93	232.84	106017	0	0
2022.06.13	225.92	226.56	214.74	215.25	106161	0	0
2022.06.14	218.51	226.30	211.73	220.82	96009	0	0
2022.06.15	220.54	235.60	218.20	232.96	102370	0	0
2022.06.16	224.29	225.55	208.70	211.11	88804	0	0
2022.06.17	215.71	220.94	211.42	216.62	74207	0	0
2022.06.21	223.36	243.55	222.59	239.94	71658	0	0
2022.06.22	230.35	246.78	230.29	236.09	77916	0	0
2022.06.23	238.81	241.21	228.66	235.50	76353	0	0
2022.06.24	237.93	246.03	235.50	244.30	59693	0	0
2022.06.27	250.22	252.00	242.56	244.88	66204	0	0
2022.06.28	246.39	249.94	232.35	233.16	73560	0	0
2022.06.29	228.62	232.05	222.28	227.62	77829	0	0
2022.06.30	223.28	229.40	218.87	224.36	91023	0	0
2022.07.01	225.14	230.16	222.13	226.37	81450	0	0
2022.07.05	225.38	232.92	216.22	232.45	84124	0	0
2022.07.06	231.85	234.48	227.18	232.26	76553	0	0
2022.07.07	233.55	245.35	232.24	243.93	53201	0	0
2022.07.08	241.96	254.61	240.75	251.04	64488	0	1
2022.07.11	249.42	254.19	233.91	234.99	72097	0	0
2022.07.12	230.18	239.72	228.38	231.50	76767	0	0
2022.07.13	233.92	242.00	223.91	237.62	88393	0	0
2022.07.14	234.52	238.32	229.36	237.57	71918	0	0
2022.07.15	238.90	243.56	236.78	239.21	53479	0	0
2022.07.18	244.36	250.48	240.09	240.38	57379	0	0
2022.07.19	243.69	247.10	237.00	245.27	54132	0	0
2022.07.20	249.66	250.61	243.49	248.11	59050	0	0
2022.07.21	253.72	273.25	252.68	272.14	89562	0	1
2022.07.22	271.83	280.78	270.73	272.08	80706	0	0
2022.07.25	276.15	276.54	267.41	267.90	58891	0	1
2022.07.26	267.73	267.83	256.32	257.72	49595	0	0
2022.07.27	263.51	275.90	261.80	275.40	60510	0	1
2022.07.28	272.87	283.26	272.78	280.96	66997	0	1
2022.07.29	285.25	297.26	279.12	296.95	54639	0	1
2022.08.01	295.84	311.81	294.98	296.70	81748	0	2
2022.08.02	291.96	307.81	291.81	302.62	78473	0	2
2022.08.03	304.64	309.51	301.12	308.59	59147	0	2
2022.08.04	311.80	313.53	305.00	307.39	58066	0	2
2022.08.05	309.06	309.06	285.55	286.78	72933	0	1
2022.08.08	294.57	305.15	289.20	289.76	62432	0	2
2022.08.09	291.54	292.32	279.36	282.94	62672	0	1
2022.08.10	289.52	297.89	283.40	293.90	64260	0	2
2022.08.11	293.19	298.18	285.83	286.29	56750	0	2
2022.08.12	289.94	299.84	285.06	299.46	51243	0	1
2022.08.15	299.01	313.11	298.51	310.68	52300	0	2
2022.08.16	309.78	314.61	302.90	306.76	51866	0	2
2022.08.17	304.25	309.60	300.04	303.76	47798	0	2
2022.08.18	306.22	307.75	301.88	302.98	44113	0	1
2022.08.19	298.11	300.32	292.51	296.76	40327	0	2
2022.08.22	289.39	292.53	286.29	289.09	43933	0	1
2022.08.23	292.63	298.81	287.93	296.38	51486	0	1
2022.08.24	296.38	296.38	296.38	296.38	1	0	2
2022.08.25	301.54	304.17	291.62	294.45	104498	0	0
2022.08.26	295.30	301.98	287.49	287.62	108355	0	0
2022.08.29	281.16	287.72	280.71	286.48	80232	0	0
2022.08.30	289.18	292.44	272.66	277.14	121478	0	0
2022.08.31	277.65	281.17	271.83	278.17	112229	0	0
2022.09.01	270.45	275.85	266.16	274.30	120458	0	0
2022.09.02	278.52	282.54	269.09	269.25	118393	0	0
2022.09.06	273.19	275.98	265.75	275.24	130105	0	0
2022.09.07	274.84	283.83	272.26	282.81	98806	0	0
2022.09.08	283.52	288.72	279.78	287.96	107508	0	0
2022.09.09	293.07	299.66	291.31	299.41	68705	0	0
2022.09.12	301.13	305.47	300.14	304.52	97376	0	0
2022.09.13	304.88	306.94	290.58	291.95	120967	0	0
2022.09.14	293.29	305.94	289.37	301.08	125543	0	0
2022.09.15	304.34	309.12	300.77	303.19	114684	0	0
2022.09.16	298.76	303.41	295.63	301.97	113496	0	0
2022.09.19	299.45	309.84	297.80	308.36	130855	0	0
2022.09.20	307.37	313.32	305.61	309.51	111462	0	0
2022.09.21	307.20	313.79	302.62	302.64	144886	0	0
2022.09.22	302.36	303.20	285.84	290.02	170032	0	0
2022.09.23	283.96	284.47	272.83	275.70	150143	0	0
2022.09.26	273.93	284.05	269.87	277.79	121517	0	0
2022.09.27	279.92	288.65	277.52	282.01	134888	0	0
2022.09.28	274.70	288.98	274.70	288.64	111536	0	0
2022.09.29	283.73	285.38	265.81	268.44	158842	0	0
2022.09.30	270.61	275.54	262.48	267.02	132664	0	0
2022.10.03	253.90	257.60	241.01	244.18	159385	0	0
2022.10.04	249.91	256.87	242.02	247.81	157337	0	0
2022.10.05	246.33	247.41	233.29	241.75	126898	0	0
2022.10.06	237.93	244.54	235.39	239.66	110196	0	0
2022.10.07	239.50	239.64	222.03	223.02	111459	0	0
2022.10.10	220.61	226.97	218.38	223.58	113185	0	0
2022.10.11	219.73	225.70	215.01	216.25	137177	0	0
2022.10.12	218.75	219.64	211.55	217.16	125434	0	0
2022.10.13	216.76	222.98	206.25	221.14	177107	0	0
2022.10.14	221.31	226.25	204.83	205.01	163638	0	0
2022.10.17	208.65	221.86	207.43	219.88	102645	0	0
2022.10.18	224.40	229.75	217.26	220.33	97987	0	0
2022.10.19	222.87	223.25	217.79	221.54	61240	0	0
2022.10.20	209.19	215.53	202.02	207.10	137718	0	0
2022.10.21	206.02	214.32	203.01	214.00	93605	0	0
2022.10.24	208.58	213.49	198.60	211.39	101334	0	0
2022.10.25	208.69	224.33	208.61	222.66	85784	0	0
2022.10.26	220.08	230.51	218.23	224.98	90210	0	0
2022.10.27	225.25	233.79	222.85	225.62	93715	0	0
2022.10.28	222.71	228.85	216.37	228.20	87804	0	0
2022.10.31	225.89	229.84	221.95	228.74	78882	0	0
2022.11.01	231.75	237.36	227.27	227.94	73537	0	0
2022.11.02	227.35	228.17	215.74	216.84	85780	0	0
2022.11.03	216.16	221.19	210.19	216.53	69756	0	0
2022.11.04	219.38	223.80	203.09	207.19	116279	0	0
2022.11.07	210.23	210.37	196.66	198.43	77180	0	0
2022.11.08	197.47	198.37	186.76	191.59	90192	0	0
2022.11.09	193.64	195.88	178.02	179.24	93400	0	0
2022.11.10	179.30	193.62	174.02	189.19	114348	0	0
2022.11.11	193.36	196.52	182.61	195.59	89650	0	0
2022.11.14	192.21	195.72	186.38	191.51	76854	0	0
2022.11.15	193.64	200.81	192.07	194.30	95557	0	0
2022.11.16	195.78	195.78	185.66	186.43	65170	0	0
2022.11.17	186.32	186.92	180.90	181.96	67632	0	0
2022.11.18	185.26	185.80	176.56	180.08	60028	0	0
2022.11.21	177.19	177.63	167.55	167.85	59662	0	0
2022.11.22	170.64	171.37	166.19	169.42	56214	0	0
2022.11.23	172.21	183.61	172.17	182.97	90301	0	0
2022.11.25	187.47	187.71	180.64	182.90	41358	0	0
2022.11.28	178.69	188.49	178.41	183.70	67656	0	0
2022.11.29	185.90	186.37	178.77	180.81	69219	0	0
2022.11.30	182.50	190.99	180.66	190.44	73579	0	0
2022.12.01	193.36	198.89	191.80	194.59	70866	0	0
2022.12.02	195.38	196.86	189.59	194.38	69894	0	0
2022.12.05	191.47	191.89	180.56	180.90	78591	0	0
2022.12.06	183.17	183.63	175.35	179.72	73544	0	0
2022.12.07	176.41	179.37	172.22	173.08	70600	0	0
2022.12.08	175.04	175.20	169.06	173.56	65130	0	0
2022.12.09	174.11	182.51	172.32	179.54	83369	0	0
2022.12.12	178.47	178.47	167.65	167.66	60145	0	0
2022.12.13	170.66	179.11	156.94	161.72	113093	0	0
2022.12.14	159.13	161.61	155.32	156.69	95307	0	0
2022.12.15	152.73	160.89	151.92	157.30	84188	0	0
2022.12.16	156.33	160.95	150.04	150.73	66932	0	0
2022.12.19	157.67	157.88	145.83	149.47	86814	0	0
2022.12.20	149.54	151.54	139.08	139.20	87344	0	0
2022.12.21	140.67	141.25	135.92	137.74	73268	0	0
2022.12.22	138.30	138.84	122.26	124.91	84121	0	0
2022.12.23	127.51	128.61	121.03	123.30	86309	0	0
2022.12.27	120.63	121.06	110.56	110.87	83378	0	0
2022.12.28	110.18	116.25	108.25	111.10	130990	0	0
2022.12.29	117.88	123.56	116.70	121.23	96474	0	0
2022.12.30	123.28	124.46	118.51	122.54	78717	0	0
2023.01.03	120.31	120.43	104.65	107.85	100285	0	0
2023.01.04	110.08	114.59	107.28	112.54	119009	0	0
2023.01.05	113.97	114.84	107.17	110.55	93302	0	0
2023.01.06	104.57	114.38	101.21	112.94	119760	0	0
2023.01.09	114.84	123.50	114.64	119.98	101365	0	0
2023.01.10	121.56	122.76	114.96	117.89	85501	0	0
2023.01.11	119.57	125.93	119.05	122.61	77876	0	0
2023.01.12	121.99	124.56	117.01	123.01	87595	0	0
